순위,제목,작성자,총점,정량,정성,URL
1,블로그 자동화의 환상을 깨고 마케팅 캡틴으로 획득한 에피파니 브릿지 서사 전략,알 수 없음,3275,1175,2100,https://www.gpters.org/marketing/post/epiphany-bridge-narrative-strategy-rQDXmPVmCQ0HQFc
2,마케팅 캡틴으로 내 블로그의 정체성을 찾아보자!,남다능,2999,899,2100,https://www.gpters.org/nocode/post/maketing-kaebtineuro-nae-beulrogeuyi-jeongceseongeul-cajaboja-zbX3bkiouxSHF2c
3,"""마케팅 캡틴""의 업그레이드로 더 용이한 블로그 자동화 구현(템플릿 구현)",해피매지션,2962,862,2100,https://www.gpters.org/marketing/post/maketing-kaebtin-yi-eobgeureideuro-deo-yongihan-beulrogeu-jadonghwa-guhyeon-5XXXL2DDhAden6y
4,브로드캐스팅에서 스토리텔링으로: 자동화 블로그 ‘에피파니브릿지’ 실험기,홍진경🐶 AI 찐친📚 학습반장🚀 SNS 챌린지 달성자,2813,747,2066,https://www.gpters.org/nocode/post/beurodeukaeseutingeseo-seutoritelringeuro-jadonghwa-beulrogeu-ro2E8CrpImVj9ki
5,블로그자동화 프롬프트 관리 방식 3단계 전략 찾아낸 과정,홍진경🐶 AI 찐친📚 학습반장🚀 SNS 챌린지 달성자,2801,701,2100,https://www.gpters.org/marketing/post/process-discovering-3step-strategy-VKDzyZvlkZGPDg3
6,"AI를 쓰면서 일이 ‘줄었다’기보다, 생각이 정리됐다",로미Rome,2719,619,2100,https://www.gpters.org/nocode/post/aireul-sseumyeonseo-ili-juleossda-giboda-saenggagi-jeongridwaessda-3Bg5gyJ0pDSWXvP
7,마켓팅캡틴으로 정리한 1인 떡공방 운영 사례 – 객단가 집착에서 구조 설계로,꽃굿샘,2672,572,2100,https://www.gpters.org/nocode/post/makestingkaebtineuro-jeongrihan-1in-ddeoggongbang-unyeong-sarye---gaegdanga-sLe5JVg04M6tteD
8,내 블로그 되살리기 - 마케팅 캡틴 활용법과 성과,해피매지션,2667,567,2100,https://www.gpters.org/nocode/post/nae-beulrogeu-doesalrigi---maketing-kaebtin-hwalyongbeobgwa-seonggwa-Q7v90XlXx2tqMqI
9,"개발자만 쓰는 줄 알았던 파이썬, 제 글쓰기 비서가 되었습니다",알 수 없음,2622,522,2100,https://www.gpters.org/marketing/post/python-which-thought-only-9oxmFFx3eS1iLjN
10,방문자 급감의 위기에서 찾은 새로운 대안: 박카스 강사의 자동화 툴과 AI 활용기,알 수 없음,2621,521,2100,https://www.gpters.org/ai-writing/post/new-alternative-found-face-BXRXrb1CgomWzuX
11,마케팅 캡틴으로 배우는 블로그 글쓰기의 본질,알 수 없음,2583,483,2100,https://www.gpters.org/marketing/post/essence-blog-writing-learned-I9RE6lsJIDj0DMK
12,1주차 불참으로 내 맘대로 마케팅 작성 챗봇 만들기,알 수 없음,2424,324,2100,https://www.gpters.org/marketing/post/created-marketing-chatbot-wanted-ARSNvEdSKT3naLl
13,AI를 ‘동료’처럼 활용하는 블로그 기획 – 마케팅 캡틴 체험기,오태윤,2336,613,1723,https://www.gpters.org/marketing/post/blog-planning-uses-ai-AnaOteIFGKOopME
14,[미니사례] 마케팅 캡틴을 활용한 블로그 글쓰기 자동화 실습,알 수 없음,2209,511,1698,https://www.gpters.org/marketing/post/blog-writing-automation-practice-x3F2g0rsZ5phmww
15,블로그 자동화,알 수 없음,2195,529,1666,https://www.gpters.org/nocode/post/blog-automation-VtDuO5knnxdX2jQ
16,파이썬 1도 모르는 공대 출신 엔지니어가 시작한 블로그 자동화,알 수 없음,2098,466,1632,https://www.gpters.org/nocode/post/blog-automation-started-engineer-EFGBdij1RIOLyMi
17,블로그 마케팅 캡틴으로 에피파니 브릿지 맛보기,알 수 없음,1943,437,1506,https://www.gpters.org/marketing/post/experience-epiphany-bridge-blog-DUyupOpHtBpTxyP
18,"블로그 자동화 전에 마주한 낯선 질문, '나는 누구에게 말하고 싶은가?'",알 수 없음,1887,396,1491,https://www.gpters.org/marketing/post/unfamiliar-question-faced-automating-Mubw8BMMHzVJOAb
19,"파이썬으로 짠 프로그램 실행, 글쓰기 도구를 만들어준 자동화 경험",알 수 없음,1540,373,1167,https://www.gpters.org/nocode/post/execution-programs-written-python-BqrwDcRY0lYi4oH
20,어서와 네이버 블로그는 처음이지?,타마_,1471,424,1047,https://www.gpters.org/nocode/post/welcome-your-first-time-2UV95rvBM1CEzIe
21,마케팅 캡틴 실습 후기,알 수 없음,805,548,257,https://www.gpters.org/nocode/post/maketing-kaebtin-silseub-hugi-FsRfXRTIGsPoemu
22,'마케팅'의 '마'자도 몰랐지만 글을 써보니!,알 수 없음,777,275,502,https://www.gpters.org/marketing/post/didnt-even-know-e-pClEtOxuyX99SMe
